*** Warning! With -c set to 15 or higher, some gene trees may take a very long time to reconcile!

#
# =========================================================================
# Welcome to GRAMPA -- Gene tree reconciliations with MUL-trees.
# Version 1.3.1 released on April 30, 2021
# GRAMPA was developed by Gregg Thomas, S. Hussain Ather, and Matthew Hahn
# Citation:      https://doi.org/10.1093/sysbio/syx044
# Website:       https://gwct.github.io/grampa/
# Report issues: https://github.com/gwct/grampa
#
# The date and time at the start is: 10.21.2022 | 15:39:03
# The program was called as: /n/home07/gthomas/projects/grampa/grampa.py -s /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/cds-iqtree/astral-pro-tree/chelicerate-19spec-astral-pro-rooted.tre -g /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/cds-iqtree/astral-pro-tree/loci-rearrange-95-rooted.treefile -o /n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r95-full-c15 -c 15 -p 30
#
# 10.21.2022 | 15:39:03 INFO: Number of processes:...................................30
# 10.21.2022 | 15:39:03 --> Step 1: Reading species tree
# 10.21.2022 | 15:39:03 --> STEP 2 03.39.03: Parsing hybrid clades
# 10.21.2022 | 15:39:03 --> STEP 3 03.39.03: Counting MUL-trees
# 10.21.2022 | 15:39:03 --> STEP 4 03.39.03: Reading gene tree(s)
# 10.21.2022 | 15:39:04 INFO: The input species tree with internal nodes labeled.....((DMELA,BMORI)<1>,(((HLONG,ISCAP)<2>,(MOCCI,VDEST)<3>)<4>,(((TGIGA,CROTU)<5>,LPOLY)<6>,((TURTI,SSCAB)<7>,(CSCUL,(LRECL,(SMIMO,((PTEPI,LHESP)<8>,((NCLAV,TANTI)<9>,ABRUE)<10>)<11>)<12>)<13>)<14>)<15>)<16>)<17>)<18>
# 10.21.2022 | 15:39:04 INFO: Input species tree is..................................Singly-labeled
# 10.21.2022 | 15:39:04 INFO: No H1 node defined.....................................Searching all possible H1 nodes.
# 10.21.2022 | 15:39:04 INFO: No H2 node defined.....................................Searching all possible H2 nodes.
# 10.21.2022 | 15:39:04 INFO: Using gene trees in file.............................../n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/cds-iqtree/astral-pro-tree/loci-rearrange-95-rooted.treefile
# 10.21.2022 | 15:39:04 INFO: Total gene trees.......................................6359
# 10.21.2022 | 15:39:04 INFO: Main results and logs will be written to file........../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r95-full-c15/grampa_out.txt
# 10.21.2022 | 15:39:04 INFO: The number of groups for each tree will be calculated../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r95-full-c15/grampa_checknums.txt
# 10.21.2022 | 15:39:04 INFO: Filtered trees will be saved (if necessary)............/n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r95-full-c15/grampa_trees_filtered.txt
# 10.21.2022 | 15:39:04 INFO: Filtering gene trees with # of polyploid groups over...15
# 10.21.2022 | 15:39:04 INFO: Detailed results will be written to file.............../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r95-full-c15/grampa_det.txt
# 10.21.2022 | 15:39:04 INFO: Detailed output will contain...........................Reconciliation scores only
# 10.21.2022 | 15:39:04 --> STEP 5 03.39.04: Building 1187 MUL-tree(s)
# 10.21.2022 | 15:39:05 --> STEP 6 03.39.05: Checking gene tree groupings
# 10.21.2022 | 15:45:06 INFO: Filtered gene trees:...................................7
# 10.21.2022 | 15:45:06 INFO: Final gene tree count for reconciliations:.............6352
# STEP 7 03.45.06: Writing filtered gene trees to file.
# ----------------------------------------
# 10.21.2022 | 15:45:06 --> STEP 8 03.45.06: Beginning reconciliations.
# 10.21.2022 | 16:10:42 --> STEP 9 04.10.42: Getting maps for lowest scoring tree
# 10.21.2022 | 16:10:46 --> STEP 10 04.10.46: Writing output
# GT/MT combo	# dups	# losses	Total score
GT-5420 to MT-0	0	7	7
GT-5416 to MT-0	0	7	7
GT-5414 to MT-0	1	7	8
GT-5425 to MT-0	0	7	7
GT-5396 to MT-0	3	5	8
GT-5426 to MT-0	0	6	6
GT-5430 to MT-0	0	6	6
GT-5422 to MT-0	0	6	6
GT-5418 to MT-0	0	7	7
GT-5410 to MT-0	3	5	8
GT-5431 to MT-0	0	9	9
GT-5429 to MT-0	0	6	6
GT-5432 to MT-0	0	9	9
GT-5437 to MT-0	0	8	8
GT-5423 to MT-0	2	6	8
GT-5421 to MT-0	0	8	8
GT-5441 to MT-0	0	8	8
GT-5435 to MT-0	1	7	8
GT-5442 to MT-0	0	8	8
GT-5407 to MT-0	5	11	16
GT-5434 to MT-0	0	5	5
GT-5428 to MT-0	1	6	7
GT-5417 to MT-0	4	9	13
GT-5447 to MT-0	0	8	8
GT-5406 to MT-0	3	9	12
GT-5459 to MT-0	1	17	18
GT-5440 to MT-0	1	12	13
GT-5436 to MT-0	0	7	7
GT-5411 to MT-0	4	0	4
GT-5448 to MT-0	0	9	9
GT-5438 to MT-0	0	6	6
GT-5452 to MT-0	0	7	7
GT-5451 to MT-0	0	8	8
GT-5450 to MT-0	0	6	6
GT-5408 to MT-0	8	25	33
GT-5446 to MT-0	0	8	8
GT-5458 to MT-0	4	12	16
GT-5433 to MT-0	3	10	13
GT-5455 to MT-0	0	8	8
GT-5461 to MT-0	0	9	9
GT-5409 to MT-0	7	14	21
GT-5445 to MT-0	0	6	6
GT-5454 to MT-0	0	8	8
GT-5443 to MT-0	1	8	9
GT-5457 to MT-0	0	7	7
GT-5456 to MT-0	0	5	5
GT-5453 to MT-0	1	6	7
GT-5427 to MT-0	4	2	6
GT-5462 to MT-0	1	11	12
GT-5464 to MT-0	0	6	6
GT-5460 to MT-0	1	7	8
GT-5449 to MT-0	0	8	8
GT-5463 to MT-0	0	5	5
GT-5444 to MT-0	5	9	14
GT-5424 to MT-0	8	17	25
GT-5467 to MT-0	0	7	7
GT-5472 to MT-0	0	8	8
GT-5465 to MT-0	1	8	9
GT-5439 to MT-0	5	10	15
GT-5469 to MT-0	1	7	8
GT-5476 to MT-0	1	12	13
GT-5468 to MT-0	0	6	6
GT-5474 to MT-0	1	11	12
GT-5470 to MT-0	0	7	7
GT-5471 to MT-0	1	5	6
GT-5477 to MT-0	1	7	8
GT-5478 to MT-0	0	6	6
GT-5481 to MT-0	0	7	7
GT-5486 to MT-0	0	6	6
GT-5480 to MT-0	2	12	14
GT-5485 to MT-0	0	7	7
GT-5482 to MT-0	2	14	16
GT-5475 to MT-0	0	6	6
GT-5483 to MT-0	0	6	6
GT-5473 to MT-0	0	4	4
GT-5487 to MT-0	0	5	5
GT-5488 to MT-0	0	6	6
GT-5489 to MT-0	0	9	9
GT-5492 to MT-0	0	6	6
GT-5493 to MT-0	1	6	7
GT-5484 to MT-0	3	8	11
GT-5491 to MT-0	1	7	8
GT-5495 to MT-0	0	8	8
GT-5466 to MT-0	7	2	9
GT-5496 to MT-0	0	8	8
GT-5507 to MT-0	0	7	7
GT-5499 to MT-0	2	11	13
GT-5497 to MT-0	1	17	18
GT-5505 to MT-0	2	8	10
GT-5506 to MT-0	2	11	13
GT-5504 to MT-0	3	10	13
GT-5510 to MT-0	0	9	9
GT-5501 to MT-0	1	10	11
GT-5513 to MT-0	1	8	9
GT-5502 to MT-0	1	8	9
GT-5498 to MT-0	3	6	9
GT-5512 to MT-0	0	8	8
GT-5509 to MT-0	0	4	4
GT-5511 to MT-0	0	7	7
GT-5500 to MT-0	0	4	4
GT-5494 to MT-0	5	8	13
GT-5516 to MT-0	0	7	7
GT-5523 to MT-0	1	8	9
GT-5520 to MT-0	0	9	9
GT-5518 to MT-0	0	6	6
GT-5522 to MT-0	0	6	6
GT-5517 to MT-0	0	6	6
GT-5521 to MT-0	1	9	10
GT-5524 to MT-0	0	6	6
GT-5525 to MT-0	0	6	6
GT-5508 to MT-0	2	6	8
GT-5515 to MT-0	0	7	7
GT-5519 to MT-0	2	10	12
GT-5528 to MT-0	2	12	14
GT-5527 to MT-0	3	11	14
GT-5536 to MT-0	2	11	13
GT-5490 to MT-0	6	11	17
GT-5514 to MT-0	3	3	6
GT-5535 to MT-0	0	7	7
GT-5530 to MT-0	0	6	6
GT-5534 to MT-0	0	7	7
GT-5529 to MT-0	0	9	9
GT-5544 to MT-0	0	6	6
GT-5531 to MT-0	0	7	7
GT-5541 to MT-0	0	4	4
GT-5545 to MT-0	1	6	7
GT-5546 to MT-0	1	10	11
GT-5540 to MT-0	0	7	7
GT-5532 to MT-0	2	12	14
GT-5538 to MT-0	3	11	14
GT-5539 to MT-0	1	10	11
GT-5503 to MT-0	3	7	10
GT-5543 to MT-0	0	5	5
GT-5548 to MT-0	0	5	5
GT-5549 to MT-0	0	7	7
GT-5552 to MT-0	0	9	9
GT-5537 to MT-0	0	7	7
GT-5550 to MT-0	1	9	10
GT-5526 to MT-0	5	8	13
GT-5554 to MT-0	0	8	8
GT-5555 to MT-0	0	8	8
GT-5553 to MT-0	1	9	10
GT-5542 to MT-0	7	17	24
GT-5551 to MT-0	3	10	13
GT-5558 to MT-0	0	7	7
GT-5556 to MT-0	0	7	7
GT-5560 to MT-0	0	6	6
GT-5570 to MT-0	1	6	7
GT-5547 to MT-0	3	9	12
GT-5559 to MT-0	0	7	7
GT-5563 to MT-0	3	8	11
GT-5562 to MT-0	1	7	8
GT-5561 to MT-0	1	7	8
GT-5564 to MT-0	1	7	8
GT-5567 to MT-0	1	10	11
GT-5568 to MT-0	1	7	8
GT-5557 to MT-0	0	5	5
GT-5571 to MT-0	0	7	7
GT-5575 to MT-0	0	6	6
GT-5573 to MT-0	0	5	5
GT-5580 to MT-0	1	11	12
GT-5572 to MT-0	1	6	7
GT-5565 to MT-0	0	6	6
GT-5583 to MT-0	0	3	3
GT-5577 to MT-0	1	6	7
GT-5579 to MT-0	0	5	5
GT-5582 to MT-0	0	8	8
GT-5576 to MT-0	0	6	6
GT-5566 to MT-0	0	5	5
GT-5581 to MT-0	2	13	15
GT-5578 to MT-0	0	7	7
GT-5586 to MT-0	0	7	7
GT-5587 to MT-0	0	6	6
GT-5569 to MT-0	1	9	10
GT-5588 to MT-0	0	5	5
GT-5584 to MT-0	0	6	6
GT-5595 to MT-0	0	6	6
GT-5592 to MT-0	0	5	5
GT-5590 to MT-0	0	3	3
GT-5589 to MT-0	0	6	6
GT-5593 to MT-0	0	7	7
GT-5591 to MT-0	0	5	5
GT-5600 to MT-0	0	10	10
GT-5597 to MT-0	1	4	5
GT-5604 to MT-0	0	5	5
GT-5574 to MT-0	2	7	9
GT-5602 to MT-0	0	5	5
GT-5598 to MT-0	0	6	6
GT-5599 to MT-0	2	4	6
GT-5596 to MT-0	1	7	8
GT-5610 to MT-0	0	3	3
GT-5605 to MT-0	1	4	5
GT-5594 to MT-0	0	4	4
GT-5613 to MT-0	1	13	14
GT-5603 to MT-0	1	5	6
GT-5612 to MT-0	2	5	7
GT-5614 to MT-0	0	8	8
GT-5601 to MT-0	0	1	1
GT-5611 to MT-0	2	4	6
GT-5615 to MT-0	0	9	9
GT-5606 to MT-0	1	9	10
GT-5479 to MT-0	20	14	34
GT-5619 to MT-0	0	6	6
GT-5616 to MT-0	1	16	17
GT-5609 to MT-0	1	3	4
GT-5608 to MT-0	0	2	2
GT-5617 to MT-0	1	9	10
GT-5607 to MT-0	0	7	7
GT-5632 to MT-0	1	10	11
GT-5626 to MT-0	2	11	13
GT-5633 to MT-0	1	10	11
GT-5636 to MT-0	0	5	5
GT-5638 to MT-0	0	6	6
GT-5634 to MT-0	1	12	13
GT-5630 to MT-0	5	11	16
GT-5637 to MT-0	0	7	7
GT-5631 to MT-0	0	5	5
GT-5640 to MT-0	0	6	6
GT-5643 to MT-0	1	9	10
GT-5641 to MT-0	0	6	6
GT-5621 to MT-0	3	6	9
GT-5645 to MT-0	1	6	7
GT-5623 to MT-0	7	15	22
GT-5639 to MT-0	1	9	10
GT-5644 to MT-0	1	12	13
GT-5653 to MT-0	2	13	15
GT-5624 to MT-0	4	11	15
GT-5625 to MT-0	3	10	13
GT-5628 to MT-0	3	9	12
GT-5620 to MT-0	3	7	10
GT-5649 to MT-0	1	6	7
GT-5646 to MT-0	0	7	7
GT-5651 to MT-0	1	8	9
GT-5650 to MT-0	0	7	7
GT-5652 to MT-0	0	7	7
GT-5656 to MT-0	0	6	6
GT-5629 to MT-0	5	6	11
GT-5635 to MT-0	3	6	9
GT-5658 to MT-0	0	7	7
GT-5654 to MT-0	0	6	6
GT-5660 to MT-0	0	6	6
GT-5627 to MT-0	2	6	8
GT-5662 to MT-0	0	6	6
GT-5659 to MT-0	1	10	11
GT-5664 to MT-0	0	9	9
GT-5663 to MT-0	1	9	10
GT-5671 to MT-0	0	7	7
GT-5618 to MT-0	5	8	13
GT-5666 to MT-0	0	9	9
GT-5667 to MT-0	1	11	12
GT-5675 to MT-0	1	13	14
GT-5533 to MT-0	13	21	34
GT-5674 to MT-0	1	6	7
GT-5669 to MT-0	0	8	8
GT-5661 to MT-0	1	5	6
GT-5655 to MT-0	4	10	14
GT-5683 to MT-0	0	8	8
GT-5673 to MT-0	0	6	6
GT-5679 to MT-0	0	8	8
GT-5642 to MT-0	2	6	8
GT-5685 to MT-0	0	10	10
GT-5682 to MT-0	0	8	8
GT-5677 to MT-0	0	5	5
GT-5668 to MT-0	1	6	7
GT-5672 to MT-0	0	7	7
GT-5647 to MT-0	5	14	19
GT-5648 to MT-0	2	2	4
GT-5686 to MT-0	0	8	8
GT-5691 to MT-0	0	9	9
GT-5680 to MT-0	0	7	7
GT-5684 to MT-0	0	7	7
GT-5678 to MT-0	0	6	6
GT-5689 to MT-0	0	8	8
GT-5665 to MT-0	3	9	12
GT-5690 to MT-0	0	6	6
GT-5657 to MT-0	2	9	11
GT-5695 to MT-0	0	8	8
GT-5688 to MT-0	0	6	6
GT-5701 to MT-0	0	9	9
GT-5698 to MT-0	0	9	9
GT-5705 to MT-0	0	9	9
GT-5707 to MT-0	0	10	10
GT-5692 to MT-0	0	6	6
GT-5712 to MT-0	0	7	7
GT-5711 to MT-0	0	6	6
GT-5696 to MT-0	0	4	4
GT-5703 to MT-0	0	7	7
GT-5694 to MT-0	0	6	6
GT-5700 to MT-0	0	7	7
GT-5715 to MT-0	0	7	7
GT-5717 to MT-0	0	7	7
GT-5676 to MT-0	2	13	15
GT-5718 to MT-0	1	11	12
GT-5714 to MT-0	1	10	11
GT-5706 to MT-0	1	8	9
GT-5687 to MT-0	4	11	15
GT-5704 to MT-0	3	7	10
GT-5702 to MT-0	0	5	5
GT-5723 to MT-0	0	7	7
GT-5720 to MT-0	1	11	12
GT-5710 to MT-0	0	6	6
GT-5719 to MT-0	0	5	5
GT-5713 to MT-0	0	7	7
GT-5721 to MT-0	1	8	9
GT-5708 to MT-0	0	7	7
GT-5725 to MT-0	0	8	8
GT-5724 to MT-0	0	7	7
GT-5729 to MT-0	0	8	8
GT-5738 to MT-0	0	9	9
GT-5739 to MT-0	0	8	8
GT-5727 to MT-0	2	11	13
GT-5726 to MT-0	0	8	8
GT-5737 to MT-0	0	8	8
GT-5733 to MT-0	2	16	18
GT-5736 to MT-0	0	8	8
GT-5731 to MT-0	0	6	6
GT-5732 to MT-0	1	5	6
GT-5697 to MT-0	2	8	10
GT-5740 to MT-0	0	5	5
GT-5585 to MT-0	12	17	29
GT-5730 to MT-0	0	7	7
GT-5734 to MT-0	0	4	4
GT-5742 to MT-0	0	10	10
GT-5735 to MT-0	3	16	19
GT-5744 to MT-0	0	6	6
GT-5743 to MT-0	0	8	8
GT-5716 to MT-0	9	7	16
GT-5699 to MT-0	4	7	11
GT-5722 to MT-0	4	10	14
GT-5741 to MT-0	0	7	7
GT-5746 to MT-0	0	6	6
GT-5693 to MT-0	5	10	15
GT-5709 to MT-0	7	9	16
GT-5747 to MT-0	1	6	7
GT-5749 to MT-0	0	6	6
GT-5670 to MT-0	6	12	18
GT-5750 to MT-0	0	8	8
GT-5728 to MT-0	4	3	7
GT-5622 to MT-0	10	19	29
GT-5748 to MT-0	1	6	7
GT-5753 to MT-0	0	7	7
GT-5752 to MT-0	1	9	10
GT-5756 to MT-0	0	6	6
GT-5755 to MT-0	0	7	7
GT-5754 to MT-0	1	5	6
GT-5681 to MT-0	6	26	32
GT-5759 to MT-0	0	6	6
GT-5764 to MT-0	0	9	9
GT-5760 to MT-0	1	12	13
GT-5761 to MT-0	0	7	7
GT-5745 to MT-0	4	7	11
GT-5765 to MT-0	0	7	7
GT-5757 to MT-0	1	8	9
GT-5762 to MT-0	0	7	7
GT-5766 to MT-0	0	7	7
GT-5768 to MT-0	0	8	8
GT-5767 to MT-0	0	7	7
GT-5751 to MT-0	9	18	27
GT-5771 to MT-0	0	8	8
GT-5772 to MT-0	1	11	12
GT-5770 to MT-0	0	8	8
GT-5776 to MT-0	1	13	14
GT-5763 to MT-0	4	8	12
GT-5758 to MT-0	3	10	13
GT-5775 to MT-0	0	7	7
GT-5773 to MT-0	1	12	13
GT-5779 to MT-0	0	8	8
GT-5783 to MT-0	0	3	3
GT-5780 to MT-0	0	3	3
GT-5781 to MT-0	1	7	8
GT-5777 to MT-0	0	7	7
GT-5785 to MT-0	0	5	5
GT-5769 to MT-0	6	19	25
GT-5784 to MT-0	0	4	4
GT-5786 to MT-0	0	4	4
GT-5787 to MT-0	0	3	3
GT-5774 to MT-0	2	7	9
GT-5788 to MT-0	0	9	9
GT-5793 to MT-0	2	4	6
GT-5799 to MT-0	0	8	8
GT-5791 to MT-0	0	8	8
GT-5794 to MT-0	0	4	4
GT-5795 to MT-0	1	7	8
GT-5790 to MT-0	1	3	4
GT-5792 to MT-0	1	7	8
GT-5798 to MT-0	1	5	6
GT-5802 to MT-0	0	8	8
GT-5778 to MT-0	5	11	16
GT-5800 to MT-0	1	5	6
GT-5812 to MT-0	0	4	4
GT-5804 to MT-0	0	7	7
GT-5805 to MT-0	0	4	4
GT-5801 to MT-0	0	4	4
GT-5782 to MT-0	2	6	8
GT-5796 to MT-0	0	3	3
GT-5811 to MT-0	1	6	7
GT-5806 to MT-0	0	2	2
GT-5808 to MT-0	0	7	7
GT-5807 to MT-0	0	6	6
GT-5830 to MT-0	0	9	9
GT-5816 to MT-0	0	7	7
GT-5810 to MT-0	1	5	6
GT-5813 to MT-0	1	8	9
GT-5818 to MT-0	1	3	4
GT-5817 to MT-0	1	7	8
GT-5809 to MT-0	1	3	4
GT-5821 to MT-0	2	6	8
GT-5822 to MT-0	0	3	3
GT-5789 to MT-0	3	8	11
GT-5828 to MT-0	0	9	9
GT-5819 to MT-0	0	6	6
GT-5824 to MT-0	0	4	4
GT-5814 to MT-0	3	4	7
GT-5823 to MT-0	1	2	3
GT-5826 to MT-0	1	8	9
GT-5820 to MT-0	1	9	10
GT-5803 to MT-0	1	8	9
GT-5832 to MT-0	1	9	10
GT-5831 to MT-0	0	8	8
GT-5797 to MT-0	4	5	9
GT-5835 to MT-0	2	8	10
GT-5829 to MT-0	0	7	7
GT-5840 to MT-0	2	8	10
GT-5833 to MT-0	1	4	5
GT-5854 to MT-0	0	7	7
GT-5852 to MT-0	0	8	8
GT-5838 to MT-0	0	8	8
GT-5842 to MT-0	1	6	7
GT-5825 to MT-0	3	6	9
GT-5827 to MT-0	5	24	29
GT-5851 to MT-0	0	8	8
GT-5839 to MT-0	1	9	10
GT-5837 to MT-0	3	9	12
GT-5815 to MT-0	6	8	14
GT-5857 to MT-0	0	9	9
GT-5834 to MT-0	5	4	9
GT-5841 to MT-0	2	7	9
GT-5853 to MT-0	0	8	8
GT-5843 to MT-0	0	6	6
GT-5859 to MT-0	0	7	7
GT-5836 to MT-0	5	8	13
GT-5860 to MT-0	0	6	6
GT-5858 to MT-0	1	9	10
GT-5864 to MT-0	0	7	7
GT-5873 to MT-0	0	6	6
GT-5863 to MT-0	0	10	10
GT-5846 to MT-0	5	14	19
GT-5856 to MT-0	0	7	7
GT-5862 to MT-0	0	6	6
GT-5867 to MT-0	0	8	8
GT-5845 to MT-0	3	2	5
GT-5877 to MT-0	0	8	8
GT-5855 to MT-0	5	7	12
GT-5882 to MT-0	0	7	7
GT-5879 to MT-0	1	10	11
GT-5868 to MT-0	0	12	12
GT-5850 to MT-0	3	9	12
GT-5871 to MT-0	0	8	8
GT-5869 to MT-0	2	12	14
GT-5848 to MT-0	5	4	9
GT-5865 to MT-0	0	7	7
GT-5872 to MT-0	0	8	8
GT-5874 to MT-0	0	8	8
GT-5844 to MT-0	5	11	16
GT-5876 to MT-0	0	7	7
GT-5878 to MT-0	0	6	6
GT-5847 to MT-0	6	15	21
GT-5861 to MT-0	1	6	7
GT-5888 to MT-0	0	8	8
GT-5885 to MT-0	0	7	7
GT-5884 to MT-0	0	5	5
GT-5881 to MT-0	1	5	6
GT-5889 to MT-0	1	11	12
GT-5893 to MT-0	0	8	8
GT-5890 to MT-0	0	5	5
GT-5887 to MT-0	0	6	6
GT-5891 to MT-0	0	5	5
GT-5903 to MT-0	0	10	10
GT-5895 to MT-0	0	6	6
GT-5894 to MT-0	1	8	9
GT-5898 to MT-0	1	6	7
GT-5901 to MT-0	2	8	10
GT-5902 to MT-0	0	7	7
GT-5900 to MT-0	0	7	7
GT-5866 to MT-0	4	3	7
GT-5892 to MT-0	1	12	13
GT-5849 to MT-0	9	38	47
GT-5899 to MT-0	1	8	9
GT-5897 to MT-0	0	8	8
GT-5870 to MT-0	7	19	26
GT-5875 to MT-0	5	5	10
GT-5909 to MT-0	0	7	7
GT-5904 to MT-0	0	6	6
GT-5912 to MT-0	0	8	8
GT-5880 to MT-0	5	4	9
GT-5905 to MT-0	1	11	12
GT-5907 to MT-0	0	7	7
GT-5911 to MT-0	0	6	6
GT-5915 to MT-0	0	8	8
GT-5918 to MT-0	0	7	7
GT-5928 to MT-0	0	9	9
GT-5916 to MT-0	0	6	6
GT-5922 to MT-0	0	9	9
GT-5917 to MT-0	0	5	5
GT-5919 to MT-0	0	6	6
GT-5906 to MT-0	0	7	7
GT-5910 to MT-0	1	13	14
GT-5896 to MT-0	5	10	15
GT-5924 to MT-0	0	7	7
GT-5908 to MT-0	0	6	6
GT-5923 to MT-0	0	7	7
GT-5921 to MT-0	1	6	7
GT-5883 to MT-0	4	12	16
GT-5920 to MT-0	0	7	7
GT-5940 to MT-0	1	8	9
GT-5925 to MT-0	0	7	7
GT-5914 to MT-0	0	7	7
GT-5927 to MT-0	0	8	8
GT-5932 to MT-0	0	7	7
GT-5930 to MT-0	1	6	7
GT-5937 to MT-0	0	7	7
GT-5936 to MT-0	0	6	6
GT-5933 to MT-0	0	7	7
GT-5886 to MT-0	3	7	10
GT-5947 to MT-0	0	6	6
GT-5941 to MT-0	2	16	18
GT-5913 to MT-0	0	7	7
GT-5943 to MT-0	0	9	9
GT-5935 to MT-0	0	6	6
GT-5945 to MT-0	0	7	7
GT-5942 to MT-0	0	8	8
GT-5948 to MT-0	0	3	3
GT-5944 to MT-0	0	9	9
GT-5949 to MT-0	0	9	9
GT-5952 to MT-0	0	4	4
GT-5953 to MT-0	0	7	7
GT-5955 to MT-0	0	3	3
GT-5951 to MT-0	1	13	14
GT-5957 to MT-0	0	4	4
GT-5956 to MT-0	1	8	9
GT-5958 to MT-0	0	8	8
GT-5960 to MT-0	0	9	9
GT-5931 to MT-0	5	3	8
GT-5964 to MT-0	0	3	3
GT-5962 to MT-0	2	9	11
GT-5970 to MT-0	0	11	11
GT-5938 to MT-0	3	3	6
GT-5972 to MT-0	0	4	4
GT-5946 to MT-0	3	6	9
GT-5961 to MT-0	1	8	9
GT-5934 to MT-0	4	13	17
GT-5963 to MT-0	1	9	10
GT-5969 to MT-0	0	2	2
GT-5954 to MT-0	0	2	2
GT-5979 to MT-0	1	5	6
GT-5971 to MT-0	0	5	5
GT-5929 to MT-0	5	9	14
GT-5966 to MT-0	1	3	4
GT-5981 to MT-0	0	3	3
GT-5974 to MT-0	0	10	10
GT-5978 to MT-0	0	4	4
GT-5977 to MT-0	0	8	8
GT-5959 to MT-0	1	8	9
GT-5983 to MT-0	1	8	9
GT-5968 to MT-0	0	7	7
GT-5965 to MT-0	2	9	11
GT-5973 to MT-0	0	9	9
GT-5980 to MT-0	2	9	11
GT-5982 to MT-0	1	8	9
GT-5975 to MT-0	0	5	5
GT-5950 to MT-0	7	11	18
GT-5988 to MT-0	4	11	15
GT-5989 to MT-0	0	3	3
GT-5991 to MT-0	3	13	16
GT-5985 to MT-0	1	6	7
GT-5994 to MT-0	0	11	11
GT-5926 to MT-0	8	8	16
GT-5976 to MT-0	2	11	13
GT-6007 to MT-0	3	10	13
GT-5986 to MT-0	1	8	9
GT-5990 to MT-0	0	5	5
GT-5995 to MT-0	0	6	6
GT-6012 to MT-0	0	4	4
GT-6001 to MT-0	0	7	7
GT-5997 to MT-0	0	3	3
GT-5998 to MT-0	1	4	5
GT-5996 to MT-0	1	5	6
GT-6000 to MT-0	0	9	9
GT-6002 to MT-0	0	4	4
GT-6008 to MT-0	0	3	3
GT-5967 to MT-0	5	15	20
GT-5987 to MT-0	1	7	8
GT-6006 to MT-0	0	7	7
GT-5993 to MT-0	1	8	9
GT-5984 to MT-0	7	15	22
GT-6013 to MT-0	2	6	8
GT-6014 to MT-0	1	4	5
GT-6004 to MT-0	3	10	13
GT-6010 to MT-0	1	11	12
GT-6015 to MT-0	0	9	9
GT-6009 to MT-0	4	9	13
GT-5999 to MT-0	3	7	10
GT-6019 to MT-0	0	8	8
GT-6011 to MT-0	4	17	21
GT-6017 to MT-0	2	4	6
GT-6020 to MT-0	0	7	7
GT-6018 to MT-0	0	4	4
GT-6005 to MT-0	6	3	9
GT-6023 to MT-0	0	7	7
GT-6035 to MT-0	0	7	7
GT-6021 to MT-0	1	15	16
GT-6003 to MT-0	5	12	17
GT-6030 to MT-0	3	12	15
GT-6041 to MT-0	0	7	7
GT-6016 to MT-0	3	13	16
GT-6029 to MT-0	3	8	11
GT-6043 to MT-0	0	6	6
GT-6039 to MT-0	0	9	9
GT-6031 to MT-0	4	7	11
GT-6026 to MT-0	4	16	20
GT-6028 to MT-0	1	5	6
GT-6022 to MT-0	3	12	15
GT-6024 to MT-0	4	3	7
GT-6037 to MT-0	2	9	11
GT-6049 to MT-0	0	5	5
GT-6032 to MT-0	4	12	16
GT-6033 to MT-0	6	8	14
GT-6045 to MT-0	0	6	6
GT-6046 to MT-0	0	7	7
GT-6044 to MT-0	0	7	7
GT-6036 to MT-0	4	13	17
GT-6048 to MT-0	0	7	7
GT-6042 to MT-0	0	5	5
GT-6066 to MT-0	0	10	10
GT-6025 to MT-0	3	7	10
GT-5992 to MT-0	1	3	4
GT-6051 to MT-0	0	6	6
GT-6054 to MT-0	0	7	7
GT-6050 to MT-0	0	9	9
GT-6057 to MT-0	0	6	6
GT-6056 to MT-0	0	9	9
GT-6053 to MT-0	0	9	9
GT-6060 to MT-0	1	9	10
GT-5939 to MT-0	10	19	29
GT-6062 to MT-0	0	6	6
GT-6058 to MT-0	2	6	8
GT-6061 to MT-0	0	6	6
GT-6063 to MT-0	1	7	8
GT-6034 to MT-0	5	11	16
GT-6065 to MT-0	0	8	8
GT-6055 to MT-0	5	16	21
GT-6040 to MT-0	3	13	16
GT-6067 to MT-0	0	7	7
GT-6047 to MT-0	2	2	4
GT-6069 to MT-0	0	7	7
GT-6070 to MT-0	0	7	7
GT-6071 to MT-0	0	7	7
GT-6077 to MT-0	0	7	7
GT-6074 to MT-0	1	6	7
GT-6078 to MT-0	0	10	10
GT-6059 to MT-0	7	14	21
GT-6073 to MT-0	0	8	8
GT-6052 to MT-0	3	6	9
GT-6076 to MT-0	0	8	8
GT-6081 to MT-0	1	10	11
GT-6080 to MT-0	0	7	7
GT-6095 to MT-0	0	10	10
GT-6086 to MT-0	1	12	13
GT-6075 to MT-0	2	10	12
